title,ref,location,mileage,specs,transmission,engine_capacity,seller_expectation,current_bid,auction_status,auction_end_date,live_time,cache_key,scraped_at
2024 BAIC BJ40 C Honor,Ref# 421101,Dubai,"56,766 km",GCC Specs,Automatic,2000 cc,"AED 97,520","AED 63,000",Ended,"Jan 27, 2026  at 4:20 PM",Tuesday at 4:00 PM,2024_BAIC_BJ40_C_Honor_Tuesday_400PM,2026-01-27 10:51:55.096511
2019 Lincoln MKZ Premiere,Ref# 420984,Dubai,"70,138 km",GCC Specs,Automatic,2000 cc,"AED 49,050","AED 21,500",Ended,"Jan 27, 2026  at 4:15 PM",Tuesday at 4:00 PM,2019_Lincoln_MKZ_Premiere_Tuesday_400PM,2026-01-27 10:52:08.807279
2017 Toyota Rav 4 Ex,Ref# 415654,Dubai,"151,013 km",GCC Specs,Automatic,2500 cc,"AED 53,750","AED 36,500",Ended,"Jan 27, 2026  at 4:10 PM",Tuesday at 3:55 PM,2017_Toyota_Rav_4_Ex_Tuesday_355PM,2026-01-27 10:52:21.649947
2014 Toyota 86 Basic,Ref# 414137,Sharjah,"186,291 km",GCC Specs,Automatic,2000 cc,"AED 34,880","AED 14,000",Ended,"Jan 27, 2026  at 4:00 PM",Tuesday at 3:45 PM,2014_Toyota_86_Basic_Tuesday_345PM,2026-01-27 10:52:35.129220
2020 Tesla Model 3 Long Range,Ref# 422241,Dubai,"143,516 km",GCC Specs,Automatic,75 cc,"AED 59,125","AED 39,000",Ended,"Jan 27, 2026  at 4:03 PM",Tuesday at 3:45 PM,2020_Tesla_Model_3_Long_Range_Tuesday_345PM,2026-01-27 10:52:49.040348
2019 Land Rover Range Rover Vogue Se,Ref# 422106,Dubai,"258,069 km",GCC Specs,Automatic,5000 cc,"AED 106,000","AED 61,000",,,Tuesday at 4:21 PM,2019_Land_Rover_Range_Rover_Vogue_Se_Tuesday_421PM,2026-01-27 10:53:18.247603
2023 Mercedes-Benz GLE Coupe GLE 53 4MATIC+,Ref# 370527,Abu Dhabi,"57,548 km",GCC Specs,Automatic,3000 cc,"AED 392,079","AED 232,000",,,Tuesday at 4:20 PM,2023_MercedesBenz_GLE_Coupe_GLE_53_4MATIC_Tuesday_420PM,2026-01-27 10:53:34.993769
2024 Mitsubishi ASX GLX,Ref# 421118,Abu Dhabi,"2,493 km",GCC Specs,Automatic,2000 cc,"AED 59,125","AED 32,500",,,Tuesday at 4:20 PM,2024_Mitsubishi_ASX_GLX_Tuesday_420PM,2026-01-27 10:53:54.164944
2021 Mercedes-Benz GLC Glc 300 4matic,Ref# 421997,Dubai,"47,893 km",GCC Specs,Automatic,2000 cc,"AED 177,650","AED 112,000",,,Tuesday at 4:20 PM,2021_MercedesBenz_GLC_Glc_300_4matic_Tuesday_420PM,2026-01-27 10:54:29.639837
2025 Changan UNI-K Limited,Ref# 401616,Dubai,"13,534 km",GCC Specs,Automatic,2000 cc,"AED 135,746","AED 67,000",,,Tuesday at 4:20 PM,2025_Changan_UNIK_Limited_Tuesday_420PM,2026-01-27 11:04:22.791056
2019 Nissan Sentra S,Ref# 391140,Dubai,"144,543 km",GCC Specs,Automatic,1800 cc,"AED 30,105","AED 9,000",,,Tuesday at 4:35 PM,2019_Nissan_Sentra_S_Tuesday_435PM,2026-01-27 11:09:29.517199
